,Unnamed: 0,review,rating
0,0,"Wonderful time- even with the snow! What a great experience! From the goldfish in the room (which my daughter loved) to the fact that the valet parking staff who put on my chains on for me it was fabulous. The staff was attentive and went above and beyond to make our stay enjoyable. Oh, and about the parking: the charge is about what you would pay at any garage or lot- and I bet they wouldn't help you out in the snow!",5
1,1,"Lovely hotel, unique decor, friendly front desk staff, central location It's only recently that I've started staying at boutique hotels, so I'm definitely not an expert on the subtleties that these types of establishments provide. But I've already stayed at a few Kimptons and I must say that my experiences are mostly good. Hotel Monaco is no exception. The decor at the Kimpton Hotels is always unique - they have a wonderful way of pulling off colors, textures and patterns so one feels cool and trendy yet comfortable. The lobby and lounge were decorated really nicely in very rich tones. Our room provided a nice view and had this modern, romantic, shabby-chic feel to it, for lack of a better description. All the staff was friendly and helpful without any attitude. Sazerac Restaurant served us delicious breakfast in a really great setting. Seattle is a cute town in and of itself, so the hotel only enhanced our stay. The location was ideal! We walked everywhere and had no need for a taxi. There are lots of restaurants nearby, and it only took a good 10-15 minutes to walk to Pike Place Market. From what I remember, the library is right across the street and is a must see. Gorgeous architecture. Overall, this was a nice hotel and I'd stay here again. I only gave it 4-stars because I recently stayed at a Shangri-La and was so wowed by the experience. But if I hadn't been, the Hotel Monaco would've gotten another star!",4
2,2,"Nice hotel, expensive parking We got a good deal to stay at this hotel for our anniversary. We arrived late in the evening, and we took the advice of previous reviews and did the valet parking. Check in was very quick and easy. We were a little disappointed by the (non-existent) view from the room, but the room itself was clean and a nice size. The bed was comfortable, but I woke up with a stiff neck from the high pillows. It was not as soundproof as we like...we heard music from the next room at night, and in the morning there were loud bangs from doors opening and closing, and we could hear people talking in the hallway. Maybe we just had noisy neighbors. The aveda bath products were nice. We did not get a goldfish for our stay, though that is a nice touch and we would've taken advantage of it if we were staying longer. Location is great, within walking distance of shopping. Overall a nice experience, except for having to pay $40 for parking one night!",4
3,3,"Fabulous hotel Location and service are great. The valet was a doll, the front desk got me to my room quickly and everytime I passed through the lobby, the staff had huge smiles on their faces. I will be staying here often and would recommend to anyone. Valet parking is the only way to go. Starbucks is on the same block for those who need their lattes first thing in the morning!",5
4,4,"Loved the Monaco! Staff was amazing, with a small exception of the valet texting when we needed to hail a cab. He made up for it throughout our stay. Naturally in Kimpton style staff was incredibly friendly down to earth and helpful. Rooms were incredibly comfortable and clean. I've stayed at all 3 Kimptons in Seattle and the Monaco is my favorite thanks to their staff. They always makes me feel welcome and special. I love their wine hour. Ginger snap Cocktails in the restaurant made night. They were so yummy. Bartender Kelly was fantastic. Besides the high parking charge the Monaco gave us yet again a perfect stay.",5
5,5,"Ok, but nothing special for the $$ they charge I am a Diamond Member at Hilton but decided to give this chain a shot when I had my 20th Anniversary in Seattle. Well to start off I booked a suite and paid extra and then found that their website description is not what you get. A suite has more than a bedroom and a bathroom (standard hotel room). When I took my printed reservation down to the front desk and showed them that it said things like two TV, a couch, ect, the desk clerk told me oh, they mixed two suites into the same description on the Kimpton Website - sorry about that how about a free breakfast. You got to be kidding me! Even Embassy Suits has a sitting room, bathroom and bedroom unlike what Kimpton calls a suite. I was here for a 5 day stay and this was how they offer to correct false advertising? I send the Kimpton preferred guest website an email asking about the failure to provide a suite as advertised on their website (my reservation description) (also furnished a hard copy of the reservation printout (from their website) to the front desk manager on duty) and did not get any reply or solution. I also send an email after the trip (guest survey) and once again did not get any follow up via email or mail. So I guess that tell you how concerned they are about guest.The staff ranged from indifferent to not helpful. I asked the front desk if their was any good breakfast spots in the neighborhood hood and was told, no only the hotels. Gee I found one of the best breakfast spots in Seattle 1/2 a block away, how convenient that the hotel does not know they exist. We arrived late the first night (11 pm) and had to go inside and run down the bellman who busy chating on his cell phone to get any help with our bags.Prior to my arrival I had emailed the hotel to inform them that it was my 20th Anniversary as my other half is really picky so I wanted to make sure everything was good to go. I got a nice email back saying they would like to deliver a bottle of champagne and some chocolate covered strawberries to our room upon arrival to celebrate. I also told them we needed foam pillows. So upon arrival no champagne or strawberries, no foam pillows and we had a great room with a view of an alley and high rise building -nice!Now the good - you will not find a better housekeeping staff or a cleaner room than this property. We were very impressed that when we left each morning to go out shopping that they made up the room before we got back (even short trips of 2 hours or less). The beds were comfortable.Not so good - the AC-Heat control has a 4 x 4 inch screen that is bring green and will shine directly in your eyes all night. If you are light sensitive, you will have to tape something over the controls.This is not a 4 start hotel, it a very clean business hotel with super high rates. You can do better at any of the chain hotels in Seattle.",2
6,6,"Nice Rooms but not a 4* experience The Hotel Monaco in Seattle is a good hotel but I wouldn't put it at 4* level.Positives:Large bathroom (Mediterranean Suite)Comfortable bed  pillowsAttentive housekeeping staffNegatives:AC unit malfunctioned throughout the stay Front desk disorganized. Missed 3 separate wakeup calls. Concierge was always busy and hard to get in touch with. Didn't provide much guidance on special requests.TV hard to use and iPod sound dock in suite non functioning.----I decided to book a Mediterranean Suite for my 3 night weekend stay after my 1st choice (where the rest of my party was) filled up. In comparison to the W, I spent about $45 more per night but had a larger (square footage) room with a great soaking tub (with whirlpool jets) and a nice shower.Before my stay, I had the hotel arrange a car service, the price $53 with tip was reasonable and the driver was waiting for me on arrival.Checkin was easy but the downside was that with a room that was picked for its 2 person jacuzi tub, I found no bath accessories (salts, bubble bath etc...) and didn't get any during the stay. The first night (got in around 12/1a) I checked in and had a voucher for a bottle of champagne (nice gesture) and the fish waiting in my room. First impression is that the room was huge but there was so much open space I felt that the room was almost too big. The TV was far away from the bed so it was a chore to change the channel. The iPod dock was also broken which was disappointing.In the morning on my way out I asked for someone at the desk to check the thermostat out (it said 65F but was around 74, which was about 2 degrees too warm) and try to cover its face for me at night (bright blue light kept me up). When I got back to the room that night, no one had done either. That was the 1st drop by the front desk. I called maintainence and someone came to look at the thermostat but he told me to play around with the settings until I was happy (why have a digital box if it won't work!?!??!?!)I asked for a wakeup call at 10am the next morning, that didn't happen. I called later for a 6pm nap wakeup call.... they forgot that. The 10am wakeup call the next morning, yep, it was forgotten.The bathroom facilities were great in this room but I was surprised that a room sold for its whirlpool bath tub wouldn't have had any bath amenities. It was great to relax in the water with the jets going.",3
7,7,"Wonderful experience at the Monaco We are Seattle residents, so it was interesting researching and booking a hotel in our own city. Our daughter's 9th birthday was 09.13.08 and we promised to take her and two girlfriends to see Shrek the Musical at the 5th Avenue Theater, and decided we'd make a fun night out of it by booking a nearby hotel as well.We settled on the Monaco based on its proximity to the theater, price, and Trip Adviser reviews, and couldn't have had a more rewarding experience.The play started at 2:00 PM, so the day before, I called and requested an early check-in of 1:00. I was told there was no guarantee, which is industry standard, so we left our house headed for the Monaco with no real expectation of being able to check in to the room early. To my utter amazement, we arrived and were checked in and on our way up to the room in about 90 seconds. Big points there. While checking in, I asked the front desk staff to send three of the child-sized animal print robes and a few goldfish up to the room while we were at the play as a fun surprise for the girls.When we arrived at the room, it was clean, spacious, and very nicely furnished and decorated. I almost always take pictures for TA reviews, but we had so much on our plates that day, it just didn't happen.After the play, we returned to the robes and goldfish as promised, and the girls were ecstatic. The little touches that the hotel provides really personalize the hotel experience and make it feel so much more homey, as opposed to many of the sterile hotel experiences I've had in the past. We didn't spend long in the room before heading down to Sazerac (the hotel's restaurant) for dinner. In the mean time, my husband sneaked my daughter's birthday cake out of our car and left it with the front desk staff with instructions that we would like to order it from room service so that we could keep it a surprise from our daughter. No problem.Dinner was wonderful, and our wonderful (and patient!) waiter overheard it was a birthday, and surprised the girls with a chocolate lava cake for dessert. They were thrilled.When we finally headed to the room for any length of time that day, we were surprised to find three gift-packs for the girls, courtesy of the hotel, along with a nice card for the birthday girl letting her know that whenever she was ready, they had some cookies and milk for her - she simply needed to call room service. Another wonderful touch.Eventually we ordered our cake from room service and it was delivered along with candles provided by the hotel. The girls loved that. :)I can honestly say that the hotel was dead quiet that night - I actually wondered if our floor was empty. The beds were quite comfortable (although my husband took some issue with the pillows. All things considered, I think we'll give it a pass!) and we slept well. The next morning we headed back downstairs for breakfast and it was quite good. I have a few suggestions for the restaurants Bloody Mary bar - Sazerac, call me! :)Checkout was smooth, and when we left, everyone was incredibly happy with our experience.As a humorous side-note, my daughter and her friends stayed up so late the night of her birthday, that she was exhausted when we got back to our house. At bedtime that night, she burst into tears, lamenting that the best day of her life was over. She also asked if we could go back to the Monaco next year.Thank you so much Hotel Monaco for making our experience so incredibly enjoyable, and for making my daughter feel so special. Well done.",5
8,8,"Great Hotel Fantastic Hotel. Get the goldfish to keep you company. We still miss ours, Phil! Jeff at the concierge was a great help. Loved the crazy room--somehow the stripes work. Will definitely return. Breakfast at the restaurant was outstanding.",5
9,9,Loved It Location is fabulous. Service couldn't have been better.,4
10,10,Clean hotel w/great service! Hotel was in a really good location. The staff was very friendly. Use the valet at the hotel. You'll end up paying just as much to park it in a parking garage that is further away. We didn't eat at the restaurant although it looked great. The room was clean and bigger than we expected for a Hotel Monaco. Short walk to Pike's Market and several restaurants (and coffee shops of course!).,5
11,11,Very Pleasant  Agree with all of the positive reviews for the Monaco. It's located in the heart of downtown Seattle and walking distance to Pike Place and other downtown spots. Rooms were very clean and functional and we loved some of the interesting touches. For example you can request a goldfish as a temporary pet and the faux animal terry robes were very comfortable. The one negative was the parking fee as others have also commented on. I'm not sure if $40/day is the norm in Seattle - it is convenient to have the car valet parked - but something to note. Overall we were very pleased and would consider staying at the Monaco again.,4
12,12,"A Great Hotel We stayed here in March as we were on a Hockey tour. The Hotel is literally opposite the Arena so was a perfect location for us as we had two matches to go to in the four days we were there. Also it is right next to China Town (which is nothing to write home about) and also it is not to far from all the tourist attractions. The cost was a little high at $217 per night but the hotel, location and amenities were worth it to us. The Hotel's restaurant we only ate once in as food was really expensive, but very good. Another nice touch was the wine receptions every evening, which were free receptions for those staying at the hotel. The bathroom needed updating but was perfectly usable and the min bar has to be seen to be believed. All in all I would recommend this hotel.",4
13,13,"A wonderful hotel at a reasonable price I just left the Monaco and would say that this hotel has absolutely everything for the business traveller. Firstly, in all my years of travel, I have never come across such a friendly, welcoming, and inviting staff outside of Asia. That alone makes this hotel stand out from most US hotels. But there is much more to recommend it. The location is good for anyone staying in Seattle for a conference, or with a need to be downtown. The convention center is appx 10 miute walk, but conversely, it is closer to the waterfront and Pikes Place. The room was outstanding. The bed was large and luxurious, Internet (both wired and WIFI) available at no charge to guests and with a very good signal. The desk was adequate size for working and the room itself was not cramped. Paper at your door every morning. Good coffee (but then again, it is Seattle...).The gym left a bit to be desired, but it was adequate and what was there was new, clean and in great working order,and it was available 24 hours. And they did have a reciprocal agreement with a full health club nearby.The hotel has a bit of a funky vibe (complete with faux leopard-skin robes in the closet), but not so much as to turn off even the most conservative business traveller. In summary, I would recommend the hotel to anyone heading into downtown Seattle for any reason.",5
14,14,"AbFab Times at the Hotel Monaco - We Miss You Belle!       Belle and Belle, Too",5
15,15,"Overpriced My husband and I stayed here the night of our wedding. We paid $300 for the suite with the jetted two-person jacuzzi tub. The hotel has a boutique feel - the rooms are decorated with a lot of stripes and reminded me of Alice in Wonderland. The room we had was huge but had a lot of empty space which was a little strange. The jacuzzi tub was huge and could definitely accommodate two people and was like a hot-tub. The only thing was that the hotel did not provide any bubble bath etc. which would seem normal when offering such a large tub. Parking was outrageous - $40 a night. We previously paid $19/night at the Residence Inn. We ended up parking for free overnight at a meter spot. Room service was fast but the selection was limited and the food was okay, not great. Overall, I didn't have any problems with Hotel Monaco - it just didn't seem worth the high price.",3
16,16,"Unique! A great Stay. Had a wonderful time at the Hotel Monaco. The location was excellent, a short stroll to the main downtown shopping area. Pet friendly but the room showed no signs of animal hair, smells, etc. We had a monaco suite and the sleeping area had big striped curtains which could be pulled closed, a nice touch which felt cosy. Had a goldfish named Brandi who we enjoyed. We didn't partake in the free wine or coffee/tea service in the lobby but thought it was a great feature. Great staff all around, very friendly. Free wireless internet throughout the hotel which worked in the suite on our 2 laptops. The decor was a lovely, eclectic mix of pattens in the same color palatte. Animal print bathrobes made us feel like rock stars. It was so nice to be somewhere that didn't look like a sterile chain hotel, this hotel had personality and we had an excellent stay.",5
